number,german,english,article,german_sentence,english_sentence
1077,leipzig,Leipzig,,In Leipzig.,In Leipzig.
1078,dresden,Dresden,,In Dresden.,In Dresden.
1079,hannover,Hanover,,In Hannover.,In Hanover.
1080,nürnberg,Nuremberg,,In Nürnberg.,In Nuremberg.
1081,österreich,Austria,,In Österreich.,In Austria.
1082,wien,Vienna,,In Wien.,In Vienna.
1083,schweiz,Switzerland,,In der Schweiz.,In Switzerland.
1084,zürich,Zurich,,In Zürich.,In Zurich.
1085,frankreich,France,,In Frankreich.,In France.
1086,paris,Paris,,In Paris.,In Paris.
1087,spanien,Spain,,In Spanien.,In Spain.
1088,madrid,Madrid,,In Madrid.,In Madrid.
1089,italien,Italy,,In Italien.,In Italy.
1090,rom,Rome,,In Rom.,In Rome.
1091,england,England,,In England.,In England.
1092,london,London,,In London.,In London.
1093,usa,USA,,In den USA.,In the USA.
1094,new york,New York,,In New York.,In New York.
1095,los angeles,Los Angeles,,In Los Angeles.,In Los Angeles.
1096,china,China,,In China.,In China.
1097,peking,Beijing,,In Peking.,In Beijing.
1098,japan,Japan,,In Japan.,In Japan.
1099,tokyo,Tokyo,,In Tokyo.,In Tokyo.
1100,russland,Russia,,In Russland.,In Russia.
1101,moskau,Moscow,,In Moskau.,In Moscow.
1102,ägypten,Egypt,,In Ägypten.,In Egypt.
1103,kairo,Cairo,,In Kairo.,In Cairo.
1104,brasilien,Brazil,,In Brasilien.,In Brazil.
1105,rio de janeiro,Rio de Janeiro,,In Rio.,In Rio.
1106,australien,Australia,,In Australien.,In Australia.
1107,sydney,Sydney,,In Sydney.,In Sydney.
1108,deutsch,German,,Deutsch sprechen.,Speak German.
1109,englisch,English,,Englisch lernen.,Learn English.
1110,französisch,French,,Französisch können.,Know French.
1111,spanisch,Spanish,,Spanisch verstehen.,Understand Spanish.
1112,italienisch,Italian,,Italienisch essen.,Eat Italian.
1113,chinesisch,Chinese,,Chinesisch kochen.,Cook Chinese.
1114,japanisch,Japanese,,Japanisch lernen.,Learn Japanese.
1115,russisch,Russian,,Russisch sprechen.,Speak Russian.
1116,arabisch,Arabic,,Arabisch verstehen.,Understand Arabic.
1117,portugiesisch,Portuguese,,Portugiesisch können.,Know Portuguese.
1118,sprache,language,,Fremdsprache lernen.,Learn foreign language.
1119,wort,word,,Neues Wort.,New word.
1120,satz,sentence,,Langer Satz.,Long sentence.
1121,grammatik,grammar,,Deutsche Grammatik.,German grammar.
1122,aussprache,pronunciation,,Gute Aussprache.,Good pronunciation.
1123,akzent,accent,,Starker Akzent.,Strong accent.
1124,übersetzen,to translate,,Ins Deutsche übersetzen.,Translate into German.
1125,verstehen,to understand,,Gut verstehen.,Understand well.
1126,sprechen,to speak,,Laut sprechen.,Speak loudly.
1127,hören,to listen,,Gut zuhören.,Listen well.
1128,lesen,to read,,Viel lesen.,Read a lot.
1129,schreiben,to write,,Schön schreiben.,Write nicely.
1130,lernen,to learn,,Schnell lernen.,Learn quickly.
1131,lehren,to teach,,Deutsch lehren.,Teach German.
1132,fragen,to ask,,Fragen stellen.,Ask questions.
1133,antworten,to answer,,Richtig antworten.,Answer correctly.
1134,erklären,to explain,,Gut erklären.,Explain well.
1135,wiederholen,to repeat,,Nochmal wiederholen.,Repeat again.
1136,aussprechen,to pronounce,,Richtig aussprechen.,Pronounce correctly.
1137,fehler,mistake,,Grammatikfehler.,Grammar mistake.
1138,korrigieren,to correct,,Fehler korrigieren.,Correct mistakes.
1139,üben,to practice,,Viel üben.,Practice a lot.
1140,anfangen,to begin,,Jetzt anfangen.,Begin now.
1141,aufhören,to stop,,Nie aufhören.,Never stop.
1142,fortsetzen,to continue,,Weiter fortsetzen.,Continue.
1143,beenden,to finish,,Schnell beenden.,Finish quickly.
1144,fertig,ready,,Fertig sein.,Be ready.
1145,los,start,,Los geht's!,Let's go!
1146,weiter,continue,,Weiter so!,Keep it up!
1147,stopp,stop,,Stopp!,Stop!
1148,halt,stop,,Halt machen.,Make a stop.
1149,pause,break,,Pause machen.,Take a break.
1150,ende,end,,Das Ende.,The end.
1151,anfang,beginning,,Am Anfang.,At the beginning.
1152,mitte,middle,,In der Mitte.,In the middle.
1153,oben,top,,Oben drauf.,On top.
1154,unten,bottom,,Unten drunter.,Underneath.
1155,links,left,,Links davon.,To the left of it.
1156,rechts,right,,Rechts daneben.,To the right of it.
1157,vorne,front,,Vorne stehen.,Stand in front.
1158,hinten,back,,Hinten sitzen.,Sit in back.
1159,innen,inside,,Drinnen sein.,Be inside.
1160,außen,outside,,Draußen warten.,Wait outside.
1161,nahe,near,,Ganz nahe.,Very near.
1162,fern,far,,Weit fern.,Far away.
1163,direkt,direct,,Direkt daneben.,Directly next to.
1164,neben,next to,,Neben mir.,Next to me.
1165,gegenüber,opposite,,Gegenüber sitzen.,Sit opposite.
1166,zwischen,between,,Zwischen uns.,Between us.
1167,hinter,behind,,Hinter dem Haus.,Behind the house.
1168,vor,in front of,,Vor der Tür.,In front of the door.
1169,über,above,,Über den Wolken.,Above the clouds.
1170,unter,below,,Unter dem Tisch.,Under the table.
1171,neben,beside,,Neben dem Bett.,Beside the bed.
1172,bei,at/near,,Bei mir.,Near me.
1173,in,in,,In der Stadt.,In the city.
1174,aus,from/out of,,Aus Berlin.,From Berlin.
1175,zu,to,,Zu dir.,To you.
1176,nach,to/after,,Nach Hause.,Home.
1177,von,from,,Von dort.,From there.
1178,mit,with,,Mit dem Auto.,With the car.
1179,ohne,without,,Ohne Geld.,Without money.
1180,für,for,,Für dich.,For you.
1181,gegen,against,,Gegen den Wind.,Against the wind.
1182,um,around,,Um die Welt.,Around the world.
1183,durch,through,,Durch den Tunnel.,Through the tunnel.
1184,während,during,,Während der Fahrt.,During the ride.
1185,seit,since,,Seit Montag.,Since Monday.
1186,bis,until,,Bis Freitag.,Until Friday.
1187,innerhalb,within,,Innerhalb einer Stunde.,Within an hour.
1188,außerhalb,outside,,Außerhalb der Stadt.,Outside the city.
1189,trotz,despite,,Trotz Regen.,Despite rain.
1190,wegen,because of,,Wegen dir.,Because of you.
1191,laut,according to,,Laut Wetterbericht.,According to the weather report.
1192,gemäß,according to,,Gemäß Plan.,According to plan.
1193,anstatt,instead of,,Anstatt Kaffee Tee.,Tea instead of coffee.
1194,statt,instead of,,Statt zu laufen fahren.,Drive instead of walk.
1195,außer,except,,Außer dir.,Except you.
1196,einschließlich,including,,Einschließlich MwSt.,Including VAT.
1197,ausschließlich,excluding,,Ausschließlich Barzahlung.,Cash only.
1198,ab,from,,Ab morgen.,From tomorrow.
1199,bis,to/until,,Bis bald!,See you soon!
1200,von...bis,from...to,,Von Montag bis Freitag.,From Monday to Friday.
1201,seit,since,,Seit 2020.,Since 2020.
1202,vor,before,,Vor zwei Stunden.,Two hours ago.
1203,nach,after,,Nach dem Essen.,After eating.
1204,heute,today,,Heute Abend.,Tonight.
1205,morgen,tomorrow,,Morgen früh.,Tomorrow morning.
1206,übermorgen,day after tomorrow,,Übermorgen vielleicht.,Day after tomorrow perhaps.
1207,gestern,yesterday,,Gestern Nacht.,Last night.
1208,vorgestern,day before yesterday,,Vorgestern war schön.,Day before yesterday was nice.
1209,jetzt,now,,Jetzt gleich!,Right now!
1210,sofort,immediately,,Sofort los!,Go immediately!
1211,gleich,soon,,Gleich da!,Be there soon!
1212,bald,soon,,Bald fertig.,Soon finished.
1213,später,later,,Später mehr.,More later.
1214,früher,earlier,,Früher aufstehen.,Get up earlier.
1215,dann,then,,Dann sehen wir.,Then we'll see.
1216,danach,after that,,Danach schlafen.,Sleep after that.
1217,zuvor,before that,,Zuvor essen.,Eat before that.
1218,zuerst,first,,Zuerst denken.,Think first.
1219,zuerst,at first,,Zuerst langsam.,At first slowly.
1220,zuletzt,last,,Zuletzt lachen.,Laugh last.
1221,schließlich,finally,,Schließlich doch.,Finally after all.
1222,endlich,finally,,Endlich Feierabend!,Finally off work!
1223,plötzlich,suddenly,,Plötzlich dunkel.,Suddenly dark.
1224,sofort,immediately,,Sofort reagieren.,React immediately.
1225,gleichzeitig,simultaneously,,Gleichzeitig essen und reden.,Eat and talk simultaneously.
1226,derweil,meanwhile,,Derweil warten.,Wait meanwhile.
1227,inzwischen,meanwhile,,Inzwischen fertig.,Meanwhile done.
1228,vorher,beforehand,,Vorher anrufen.,Call beforehand.
1229,nachher,afterwards,,Nachher treffen.,Meet afterwards.
1230,immer,always,,Immer pünktlich.,Always on time.
1231,nie,never,,Nie vergessen.,Never forget.
1232,oft,often,,Oft kommen.,Come often.
1233,selten,rarely,,Selten trinken.,Rarely drink.
1234,manchmal,sometimes,,Manchmal regnet es.,Sometimes it rains.
1235,häufig,frequently,,Häufig benutzt.,Frequently used.
1236,gelegentlich,occasionally,,Gelegentlich mal.,Occasionally.
1237,regelmäßig,regularly,,Regelmäßig kommen.,Come regularly.
1238,ständig,constantly,,Ständig läuten.,Constantly ringing.
1239,meistens,mostly,,Meistens sonnig.,Mostly sunny.
1240,gewöhnlich,usually,,Gewöhnlich ja.,Usually yes.
1241,normalerweise,normally,,Normalerweise nicht.,Normally not.
1242,typischerweise,typically,,Typischerweise teuer.,Typically expensive.
1243,üblicherweise,usually,,Üblicherweise so.,Usually like that.
1244,ausnahmsweise,exceptionally,,Ausnahmsweise mal.,Exceptionally once.
1245,zufällig,by chance,,Zufällig getroffen.,Met by chance.
1246,absichtlich,on purpose,,Absichtlich langsam.,On purpose slowly.
1247,unabsichtlich,accidentally,,Unabsichtlich fallen lassen.,Drop accidentally.
1248,freiwillig,voluntarily,,Freiwillig mitkommen.,Come voluntarily.
1249,zwangsweise,compulsorily,,Zwangsweise lachen.,Have to laugh.
1250,gerne,gladly,,Gerne helfen.,Gladly help.
1251,ungern,reluctantly,,Ungern zugeben.,Reluctantly admit.
1252,lieber,rather,,Lieber Tee.,Rather tea.
1253,am liebsten,preferably,,Am liebsten Kaffee.,Preferably coffee.
1254,höchstens,at most,,Höchstens fünf.,At most five.
1255,mindestens,at least,,Mindestens zehn.,At least ten.
1256,etwa,about,,Etwa 20 Euro.,About 20 euros.
1257,ungefähr,approximately,,Ungefähr richtig.,Approximately right.
1258,circa,circa,,Circa 100.,Circa 100.
1259,plus,plus,,Zehn plus fünf.,Ten plus five.
1260,minus,minus,,Zwanzig minus acht.,Twenty minus eight.
1261,mal,times,,Sechs mal sieben.,Six times seven.
1262,geteilt durch,divided by,,Hundert geteilt durch vier.,Hundred divided by four.
1263,gleich,equals,,Fünf plus fünf gleich zehn.,Five plus five equals ten.
1264,prozent,percent,,Fünfzig Prozent.,Fifty percent.
1265,halb,half,,Halb acht.,Half past seven.
1266,viertel,quarter,,Viertel vor neun.,Quarter to nine.
1267,drittel,third,,Ein Drittel.,One third.
1268,ganz,whole,,Ganz Deutschland.,All of Germany.
1269,halb,half,,Halb leer.,Half empty.
1270,voll,full,,Voll besetzt.,Fully booked.
1271,leer,empty,,Leer ausgehen.,Come away empty.
1272,teilweise,partly,,Teilweise sonnig.,Partly sunny.
1273,vollständig,completely,,Vollständig leer.,Completely empty.
1274,ganz,quite,,Ganz nett.,Quite nice.
1275,total,totally,,Total voll.,Totally full.
1276,absolut,absolutely,,Absolut leer.,Absolutely empty.
1277,völlig,completely,,Völlig fertig.,Completely done.
1278,sehr,very,,Sehr voll.,Very full.
1279,äußerst,extremely,,Äußerst leer.,Extremely empty.
1280,besonders,particularly,,Besonders voll.,Particularly full.
1281,außerordentlich,extraordinarily,,Außerordentlich gut.,Extraordinarily good.
1282,ungeheuer,tremendously,,Ungeheuer laut.,Tremendously loud.
1283,enorm,enormously,,Enorm teuer.,Enormously expensive.
1284,riesig,huge,,Riesig groß.,Huge.
1285,winzig,tiny,,Winzig klein.,Tiny.
1286,gigantisch,gigantic,,Gigantisch!,Gigantic!
1287,minimal,minimal,,Minimaler Preis.,Minimal price.
1288,maximal,maximum,,Maximalgeschwindigkeit.,Maximum speed.
1289,optimal,optimal,,Optimale Lösung.,Optimal solution.
1290,perfekt,perfect,,Perfekt!,Perfect!
1291,ideal,ideal,,Ideales Wetter.,Ideal weather.
1292,exzellent,excellent,,Exzellent!,Excellent!
1293,fantastisch,fantastic,,Fantastisch!,Fantastic!
1294,wunderbar,wonderful,,Wunderbar!,Wonderful!
1295,herrlich,gorgeous,,Herrliches Essen!,Gorgeous food!
1296,traumhaft,dreamy,,Traumhaft schön.,Dreamy beautiful!
1297,zauberhaft,enchanting,,Zauberhaft!,Enchanting!
1298,hinreißend,ravishing,,Hinreißend!,Ravishing!
1299,bezaubernd,charming,,Bezaubernd!,Charming!
1300,liebenswert,lovable,,Liebenswerter Mensch.,Lovable person.
1301,nett,nice,,Nett von dir.,Nice of you.
1302,freundlich,friendly,,Freundliches Personal.,Friendly staff.
1303,höflich,polite,,Höflich fragen.,Ask politely.
1304,hilfsbereit,helpful,,Hilfsbereit sein.,Be helpful.
1305,geduldig,patient,,Geduldig warten.,Wait patiently.
1306,tolerant,tolerant,,Tolerant sein.,Be tolerant.
1307,offen,open,,Offen sprechen.,Speak openly.
1308,ehrlich,honest,,Ehrlich sein.,Be honest.
1309,aufrichtig,sincere,,Aufrichtig gemeint.,Sincerely meant.
1310,fair,fair,,Fair spielen.,Play fair.
1311,gerecht,just,,Gerecht teilen.,Share fairly.
1312,treu,loyal,,Treu bleiben.,Stay loyal.
1313,zuverlässig,reliable,,Zuverlässiger Partner.,Reliable partner.
1314,pünktlich,punctual,,Pünktlich kommen.,Come on time.
1315,fleißig,diligent,,Fleißig lernen.,Study diligently.
1316,intelligent,intelligent,,Intelligenter Mensch.,Intelligent person.
1317,klug,smart,,Kluge Entscheidung.,Smart decision.
1318,weise,wise,,Weise Worte.,Wise words.
1319,kreativ,creative,,Kreative Idee.,Creative idea.
1320,originell,original,,Originelles Geschenk.,Original gift.
1321,witzig,witty,,Witziger Spruch.,Witty saying.
1322,humorvoll,humorous,,Humorvoller Film.,Humorous movie.
1323,lustig,funny,,Lustige Geschichte.,Funny story.
1324,fröhlich,cheerful,,Fröhlicher Mensch.,Cheerful person.
1325,heiter,merry,,Heitere Stimmung.,Merry mood.
1326,glücklich,happy,,Glückliche Familie.,Happy family.
1327,zufrieden,satisfied,,Zufriedener Kunde.,Satisfied customer.
1328,stolz,proud,,Stolz auf das Ergebnis.,Proud of the result.
1329,dankbar,grateful,,Dankbar sein.,Be grateful.
1330,froh,joyful,,Froh über das Geschenk.,Joyful about the gift.
1331,begeistert,enthusiastic,,Begeistert applaudieren.,Applaud enthusiastically.
1332,fasziniert,fascinated,,Fasziniert zuschauen.,Watch fascinated.
1333,interessiert,interested,,Interessiert zuhören.,Listen interested.
1334,neugierig,curious,,Neugieriges Kind.,Curious child.
1335,mutig,brave,,Mutig sein.,Be brave.
1336,tapfer,valiant,,Tapfer kämpfen.,Fight valiantly.
1337,stark,strong,,Stark bleiben.,Stay strong.
1338,kraftvoll,powerful,,Kraftvoller Auftritt.,Powerful performance.
1339,energisch,energetic,,Energisch arbeiten.,Work energetically.
1340,lebhaft,lively,,Lebhaftes Gespräch.,Lively conversation.
1341,aktiv,active,,Aktives Mitglied.,Active member.
1342,dynamisch,dynamic,,Dynamische Entwicklung.,Dynamic development.
1343,ruhig,calm,,Ruhige See.,Calm sea.
1344,gelassen,composed,,Gelassen reagieren.,React composed.
1345,entspannt,relaxed,,Entspannte Atmosphäre.,Relaxed atmosphere.
1346,friedlich,peaceful,,Friedliche Zeiten.,Peaceful times.
1347,sanft,gentle,,Sanfte Brise.,Gentle breeze.
1348,zart,delicate,,Zarte Berührung.,Delicate touch.
1349,weich,soft,,Weiche Landung.,Soft landing.
1350,hart,hard,,Harte Zeiten.,Hard times.
1351,streng,strict,,Strenge Lehrerin.,Strict teacher.
1352,diszipliniert,disciplined,,Diszipliniertes Team.,Disciplined team.
1353,ordentlich,tidy,,Ordentliches Zimmer.,Tidy room.
1354,sauber,clean,,Sauberes Hemd.,Clean shirt.
1355,schlampig,sloppy,,Schlampige Arbeit.,Sloppy work.
1356,faul,lazy,,Fauler Tag.,Lazy day.
1357,träge,lethargic,,Träges Gefühl.,Lethargic feeling.
1358,langweilig,boring,,Langweiliger Film.,Boring movie.
1359,spannend,exciting,,Spannendes Buch.,Exciting book.
1360,interessant,interesting,,Interessanter Vortrag.,Interesting lecture.
1361,faszinierend,fascinating,,Faszinierende Geschichte.,Fascinating story.
1362,beeindruckend,impressive,,Beeindruckendes Gebäude.,Impressive building.
1363,erstaunlich,astonishing,,Erstaunliche Leistung.,Astonishing performance.
1364,unglaublich,incredible,,Unglaublicher Zufall.,Incredible coincidence.
1365,wunderbar,wonderful,,Wunderbares Gefühl.,Wonderful feeling.
1366,schrecklich,awful,,Schreckliches Wetter.,Awful weather.
1367,furchtbar,terrible,,Furchtbare Nachrichten.,Terrible news.
1368,grauenhaft,ghastly,,Grauenhafter Anblick.,Ghastly sight.
1369,entsetzlich,dreadful,,Entsetzliche Kälte.,Dreadful cold.
1370,fürchterlich,dreadful,,Fürchterlicher Lärm.,Dreadful noise.
1371,ekelhaft,disgusting,,Ekelhafter Geruch.,Disgusting smell.
1372,widerlich,repugnant,,Widerliches Essen.,Repugnant food.
1373,hässlich,ugly,,Hässliches Gebäude.,Ugly building.
1374,scheußlich,hideous,,Scheußliches Wetter.,Hideous weather.
1375,traurig,sad,,Traurige Musik.,Sad music.
1376,deprimiert,depressed,,Depressiv gestimmt.,Depressed mood.
1377,unglücklich,unhappy,,Unglückliches Ende.,Unhappy ending.
1378,verzweifelt,desperate,,Verzweifelt suchen.,Search desperately.
1379,verärgert,irritated,,Verärgert sein.,Be irritated.
1380,wütend,furious,,Wütend werden.,Get furious.
1381,böse,mad,,Böse gucken.,Look mad.
1382,sauer,mad,,Sauer sein.,Be mad.
1383,genervt,annoyed,,Genervt von Lärm.,Annoyed by noise.
1384,gestresst,stressed,,Gestresst vom Job.,Stressed from work.
1385,nervös,nervous,,Nervös vor Prüfung.,Nervous before exam.
1386,ängstlich,fearful,,Ängstlich sein.,Be fearful.
1387,furchtlos,fearless,,Furchtlos vorangehen.,Go forward fearlessly.
1388,schüchtern,shy,,Schüchtern lächeln.,Smile shyly.
1389,schamlos,shameless,,Schamlos lügen.,Lie shamelessly.
1390,stolz,proud,,Stolz erfüllt.,Filled with pride.
1391,arrogant,arrogant,,Arrogantes Verhalten.,Arrogant behavior.
1392,eingebildet,conceited,,Eingebildeter Typ.,Conceited guy.
1393,bescheiden,modest,,Bescheiden bleiben.,Stay modest.
1394,demütig,humble,,Demütig danken.,Thank humbly.
1395,selbstbewusst,self-confident,,Selbstbewusst auftreten.,Appear self-confident.
1396,unsicher,insecure,,Unsicher fühlen.,Feel insecure.
1397,verlegen,embarrassed,,Verlegen lächeln.,Smile embarrassed.
1398,peinlich,embarrassing,,Peinliche Situation.,Embarrassing situation.
1399,komisch,odd,,Komisches Gefühl.,Odd feeling.
1400,lächerlich,ridiculous,,Lächerlich aussehen.,Look ridiculous.
1401,albern,silly,,Albern lachen.,Laugh silly.
1402,ernst,serious,,Ernst bleiben.,Stay serious.
1403,streng,severe,,Strenge Mine.,Severe expression.
1404,locker,relaxed,,Locker drauf sein.,Be relaxed about it.
1405,cool,cool,,Cool bleiben.,Stay cool.
1406,hip,hip,,Hippe Kleidung.,Hip clothing.
1407,modern,modern,,Modernes Design.,Modern design.
1408,altmodisch,old-fashioned,,Altmodische Möbel.,Old-fashioned furniture.
1409,traditionell,traditional,,Traditionelles Fest.,Traditional festival.
1410,international,international,,Internationaler Flughafen.,International airport.
1411,lokal,local,,Lokales Geschäft.,Local shop.
1412,regional,regional,,Regionale Spezialitäten.,Regional specialties.
1413,national,national,,Nationaler Feiertag.,National holiday.
1414,global,global,,Globale Erwärmung.,Global warming.
1415,weltweit,worldwide,,Weltweite Nachrichten.,Worldwide news.
